,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
6,ct,smoothed_cli,2020-09-15,,2020-10-05,20,0.3165154,0.0689665,4818.0,state,fb-survey
7,dc,smoothed_cli,2020-09-15,,2020-10-05,20,0.0,0.0819672,609.0,state,fb-survey
8,de,smoothed_cli,2020-09-15,,2020-10-05,20,0.3280957,0.1432996,1478.0292,state,fb-survey
9,fl,smoothed_cli,2020-09-15,,2020-10-05,20,0.5933161,0.0463883,21096.9994,state,fb-survey
10,ga,smoothed_cli,2020-09-15,,2020-10-05,20,0.5685714,0.0729456,8228.9101,state,fb-survey
11,hi,smoothed_cli,2020-09-15,,2020-10-05,20,0.4041772,0.1464992,1398.0,state,fb-survey
12,ia,smoothed_cli,2020-09-15,,2020-10-05,20,0.8867186,0.1219929,4721.8301,state,fb-survey
13,id,smoothed_cli,2020-09-15,,2020-10-05,20,0.7719915,0.147399,2435.3279,state,fb-survey
14,il,smoothed_cli,2020-09-15,,2020-10-05,20,0.6013607,0.0612286,13012.0002,state,fb-survey
15,in,smoothed_cli,2020-09-15,,2020-10-05,20,0.6631189,0.0804756,7584.014,state,fb-survey
16,ks,smoothed_cli,2020-09-15,,2020-10-05,20,0.7100055,0.1147343,3630.9411,state,fb-survey
17,ky,smoothed_cli,2020-09-15,,2020-10-05,20,0.5967074,0.097678,4735.2037,state,fb-survey
18,la,smoothed_cli,2020-09-15,,2020-10-05,20,0.6243255,0.1002495,4578.1812,state,fb-survey
19,ma,smoothed_cli,2020-09-15,,2020-10-05,20,0.3119999,0.0631485,6349.0145,state,fb-survey
20,md,smoothed_cli,2020-09-15,,2020-10-05,20,0.3148366,0.0684942,4854.9685,state,fb-survey
21,me,smoothed_cli,2020-09-15,,2020-10-05,20,0.3028133,0.0957092,2460.2234,state,fb-survey
22,mi,smoothed_cli,2020-09-15,,2020-10-05,20,0.3688548,0.047456,12396.008,state,fb-survey
23,mn,smoothed_cli,2020-09-15,,2020-10-05,20,0.4020356,0.0711214,5860.0983,state,fb-survey
24,mo,smoothed_cli,2020-09-15,,2020-10-05,20,0.953561,0.103945,6431.8773,state,fb-survey
25,ms,smoothed_cli,2020-09-15,,2020-10-05,20,0.8645372,0.1543287,2916.083,state,fb-survey
26,mt,smoothed_cli,2020-09-15,,2020-10-05,20,0.5882469,0.1492679,1755.7075,state,fb-survey
27,nc,smoothed_cli,2020-09-15,,2020-10-05,20,0.6099951,0.065624,10789.0128,state,fb-survey
28,nd,smoothed_cli,2020-09-15,,2020-10-05,20,0.8497637,0.2723505,960.0123,state,fb-survey
29,ne,smoothed_cli,2020-09-15,,2020-10-05,20,0.7646132,0.1620004,2382.6161,state,fb-survey
30,nh,smoothed_cli,2020-09-15,,2020-10-05,20,0.1744457,0.0819599,2183.7766,state,fb-survey
31,nj,smoothed_cli,2020-09-15,,2020-10-05,20,0.2697421,0.0519722,7673.9978,state,fb-survey
32,nm,smoothed_cli,2020-09-15,,2020-10-05,20,0.4525466,0.1328925,2220.0516,state,fb-survey
33,nv,smoothed_cli,2020-09-15,,2020-10-05,20,0.5403445,0.1348597,2456.3051,state,fb-survey
34,ny,smoothed_cli,2020-09-15,,2020-10-05,20,0.2781437,0.037738,15890.9995,state,fb-survey
35,oh,smoothed_cli,2020-09-15,,2020-10-05,20,0.6055588,0.0582792,12973.9954,state,fb-survey
36,ok,smoothed_cli,2020-09-15,,2020-10-05,20,0.9091766,0.1205996,4704.5657,state,fb-survey
37,or,smoothed_cli,2020-09-15,,2020-10-05,20,0.4645274,0.0900423,4639.4792,state,fb-survey
38,pa,smoothed_cli,2020-09-15,,2020-10-05,20,0.4521099,0.0484721,15221.0097,state,fb-survey
39,ri,smoothed_cli,2020-09-15,,2020-10-05,20,0.2613268,0.1329485,1311.9855,state,fb-survey
40,sc,smoothed_cli,2020-09-15,,2020-10-05,20,0.6927435,0.0886293,6930.0029,state,fb-survey
41,sd,smoothed_cli,2020-09-15,,2020-10-05,20,1.1686465,0.2817964,1202.5376,state,fb-survey
42,tn,smoothed_cli,2020-09-15,,2020-10-05,20,0.7527669,0.0909921,7176.7591,state,fb-survey
43,tx,smoothed_cli,2020-09-15,,2020-10-05,20,0.596097,0.0466167,21392.5069,state,fb-survey
44,ut,smoothed_cli,2020-09-15,,2020-10-05,20,0.7169553,0.1204848,3358.123,state,fb-survey
45,va,smoothed_cli,2020-09-15,,2020-10-05,20,0.4108262,0.0574997,9155.1286,state,fb-survey
46,vt,smoothed_cli,2020-09-15,,2020-10-05,20,0.2029355,0.1170802,1058.0005,state,fb-survey
47,wa,smoothed_cli,2020-09-15,,2020-10-05,20,0.3447965,0.0580661,8347.9439,state,fb-survey
48,wi,smoothed_cli,2020-09-15,,2020-10-05,20,0.531097,0.077687,7012.9901,state,fb-survey
49,wv,smoothed_cli,2020-09-15,,2020-10-05,20,0.6133378,0.1338493,2717.2054,state,fb-survey
50,wy,smoothed_cli,2020-09-15,,2020-10-05,20,0.9757065,0.3078853,855.9844,state,fb-survey
0,ak,smoothed_cli,2020-09-16,,2020-10-05,19,0.3695876,0.1784367,951.0,state,fb-survey
1,al,smoothed_cli,2020-09-16,,2020-10-05,19,0.8978015,0.1251897,4398.1303,state,fb-survey
2,ar,smoothed_cli,2020-09-16,,2020-10-05,19,0.8808107,0.1436178,3201.6452,state,fb-survey
3,az,smoothed_cli,2020-09-16,,2020-10-05,19,0.4310415,0.0712897,6536.159,state,fb-survey
4,ca,smoothed_cli,2020-09-16,,2020-10-05,19,0.4179975,0.035812,25933.9874,state,fb-survey
5,co,smoothed_cli,2020-09-16,,2020-10-05,19,0.300133,0.0595457,6252.7253,state,fb-survey
6,ct,smoothed_cli,2020-09-16,,2020-10-05,19,0.3271033,0.0726782,4713.0,state,fb-survey
7,dc,smoothed_cli,2020-09-16,,2020-10-05,19,0.0,0.0821018,608.0,state,fb-survey
8,de,smoothed_cli,2020-09-16,,2020-10-05,19,0.2876734,0.1322977,1425.0292,state,fb-survey
9,fl,smoothed_cli,2020-09-16,,2020-10-05,19,0.6227319,0.0482398,20621.0001,state,fb-survey
10,ga,smoothed_cli,2020-09-16,,2020-10-05,19,0.5695961,0.0724476,8074.9157,state,fb-survey
11,hi,smoothed_cli,2020-09-16,,2020-10-05,19,0.4976474,0.1645259,1400.0,state,fb-survey
12,ia,smoothed_cli,2020-09-16,,2020-10-05,19,0.8846014,0.1246525,4603.9311,state,fb-survey
