,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
20,md,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,94.0741471,0.3737877,3989.9833,state,fb-survey
21,me,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,85.5228186,0.7722288,2076.2234,state,fb-survey
22,mi,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,86.2806548,0.3373052,10404.0097,state,fb-survey
23,mn,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,85.7655019,0.4890686,5104.0532,state,fb-survey
24,mo,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,79.1752464,0.5523654,5404.0128,state,fb-survey
25,ms,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,86.2001975,0.7106167,2355.6475,state,fb-survey
26,mt,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,77.9232484,1.0652445,1516.0153,state,fb-survey
27,nc,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,86.0500186,0.3661044,8956.0105,state,fb-survey
28,nd,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,66.6003091,1.6465221,820.5094,state,fb-survey
29,ne,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,78.3532591,0.9248389,1982.9758,state,fb-survey
30,nh,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,85.8507383,0.8066641,1866.7766,state,fb-survey
31,nj,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,91.1256078,0.3565833,6359.9979,state,fb-survey
32,nm,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,91.0889991,0.6611507,1856.9125,state,fb-survey
33,nv,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,88.2670188,0.7080596,2065.6998,state,fb-survey
34,ny,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,91.6266454,0.2418393,13117.999,state,fb-survey
35,oh,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,85.2169413,0.3399632,10900.0005,state,fb-survey
36,ok,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,77.14436,0.6736253,3885.6236,state,fb-survey
37,or,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,88.8196203,0.5073119,3858.4718,state,fb-survey
38,pa,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,86.0815819,0.3071725,12698.0071,state,fb-survey
39,ri,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,92.6539518,0.8036017,1053.989,state,fb-survey
40,sc,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,83.3538856,0.4942917,5679.0018,state,fb-survey
41,sd,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,61.3489083,1.5451267,993.2084,state,fb-survey
42,tn,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,81.2220656,0.5075125,5921.4544,state,fb-survey
43,tx,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,87.9207241,0.2452041,17663.5017,state,fb-survey
44,ut,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,79.050577,0.7564118,2894.4134,state,fb-survey
45,va,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,89.4632153,0.3521356,7602.0869,state,fb-survey
46,vt,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,91.3398721,0.9287688,917.0003,state,fb-survey
47,wa,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,90.5664297,0.3444265,7201.9526,state,fb-survey
48,wi,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,83.2629427,0.4850595,5922.9882,state,fb-survey
49,wv,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,82.059787,0.8215348,2181.2528,state,fb-survey
50,wy,smoothed_wearing_mask,2020-09-14,,2020-10-05,21,62.1768434,1.7948935,729.9768,state,fb-survey
0,ak,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,80.3775744,1.3441158,873.0,state,fb-survey
1,al,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,84.005294,0.5802227,3991.1084,state,fb-survey
2,ar,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,84.9007064,0.6771345,2795.8772,state,fb-survey
3,az,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,87.3422579,0.4341674,5864.9751,state,fb-survey
4,ca,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,91.7682791,0.1816521,22892.9747,state,fb-survey
5,co,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,86.3887715,0.4537646,5710.7541,state,fb-survey
6,ct,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,92.661084,0.3977695,4298.0,state,fb-survey
7,dc,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,96.4351005,0.7934963,546.0,state,fb-survey
8,de,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,92.6617192,0.7193596,1314.0219,state,fb-survey
9,fl,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,86.4579369,0.2528305,18316.0,state,fb-survey
10,ga,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,83.1137674,0.4436079,7131.9309,state,fb-survey
11,hi,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,92.962963,0.7340752,1214.0,state,fb-survey
12,ia,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,75.7712646,0.6623242,4184.9857,state,fb-survey
13,id,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,72.3300643,0.96949,2129.3172,state,fb-survey
14,il,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,87.7418992,0.3076041,11367.0,state,fb-survey
15,in,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,83.5815072,0.4543689,6647.0079,state,fb-survey
16,ks,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,81.3791597,0.6850562,3228.9407,state,fb-survey
17,ky,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,86.7042309,0.5285049,4127.2027,state,fb-survey
18,la,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,82.2558051,0.6133175,3880.182,state,fb-survey
19,ma,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,93.241813,0.3341385,5644.0125,state,fb-survey
20,md,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,94.1114208,0.3602581,4269.9759,state,fb-survey
21,me,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,85.4193321,0.7491457,2219.2234,state,fb-survey
22,mi,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,86.2572481,0.3273392,11063.0082,state,fb-survey
23,mn,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,85.3511671,0.4856527,5301.0381,state,fb-survey
24,mo,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,79.2484021,0.5388388,5664.0134,state,fb-survey
25,ms,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,85.9260784,0.7023056,2451.816,state,fb-survey
26,mt,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,77.3031551,1.0629882,1552.7653,state,fb-survey
27,nc,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,86.0352703,0.3572838,9412.0114,state,fb-survey
28,nd,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,66.34382,1.6373965,832.8323,state,fb-survey
29,ne,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,77.942491,0.9031705,2107.6148,state,fb-survey
30,nh,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,85.7276264,0.7881339,1969.7766,state,fb-survey
31,nj,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,90.8609358,0.3520219,6700.998,state,fb-survey
32,nm,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,90.5258778,0.6636968,1947.0285,state,fb-survey
33,nv,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,87.7957014,0.7060609,2149.3235,state,fb-survey
34,ny,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,91.742558,0.2330851,13943.999,state,fb-survey
35,oh,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,85.0746848,0.3330696,11446.0011,state,fb-survey
36,ok,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,77.2547096,0.6587248,4049.566,state,fb-survey
37,or,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,88.8027307,0.4983065,4004.473,state,fb-survey
38,pa,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,86.0236963,0.2983829,13504.0085,state,fb-survey
39,ri,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,92.9693992,0.7558848,1143.9875,state,fb-survey
40,sc,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,83.5647459,0.4793558,5977.0031,state,fb-survey
41,sd,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,61.776207,1.5092924,1036.593,state,fb-survey
42,tn,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,81.1803213,0.4948997,6237.759,state,fb-survey
43,tx,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,87.7380308,0.2414084,18460.4996,state,fb-survey
44,ut,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,79.5155044,0.7375474,2994.3132,state,fb-survey
45,va,smoothed_wearing_mask,2020-09-15,,2020-10-05,20,89.454913,0.3423229,8049.7529,state,fb-survey
