,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
40,sc,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,21.502324,0.510014,6489.0022,state,fb-survey
41,sd,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,32.143936,1.3840011,1138.7145,state,fb-survey
42,tn,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,25.4148326,0.5311599,6718.7594,state,fb-survey
43,tx,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,19.9380679,0.285211,19623.5028,state,fb-survey
44,ut,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,23.9571975,0.7601106,3153.1206,state,fb-survey
45,va,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,17.0006243,0.4052711,8591.0927,state,fb-survey
46,vt,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,7.6808683,0.838727,1008.0005,state,fb-survey
47,wa,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,14.772218,0.3996655,7881.9462,state,fb-survey
48,wi,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,21.1573782,0.5004285,6660.9899,state,fb-survey
49,wv,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,21.9834134,0.8195929,2553.2048,state,fb-survey
50,wy,smoothed_hh_cmnty_cli,2020-09-15,,2020-10-05,20,20.5301654,1.419237,809.9998,state,fb-survey
0,ak,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,22.2530522,1.3864851,900.0,state,fb-survey
1,al,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,26.0605436,0.6852875,4103.1193,state,fb-survey
2,ar,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,26.9589679,0.8079286,3016.6452,state,fb-survey
3,az,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,15.4393913,0.4613891,6132.8668,state,fb-survey
4,ca,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,14.3169049,0.2273319,23736.8743,state,fb-survey
5,co,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,15.9278292,0.4757737,5915.7253,state,fb-survey
6,ct,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,10.8257919,0.4673987,4419.0,state,fb-survey
7,dc,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,10.5034722,1.2786027,575.0,state,fb-survey
8,de,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,11.2319099,0.8658141,1330.0292,state,fb-survey
9,fl,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,18.661915,0.283067,18944.0,state,fb-survey
10,ga,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,25.1269465,0.5015487,7478.9216,state,fb-survey
11,hi,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,16.087963,1.0210048,1295.0,state,fb-survey
12,ia,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,27.1516111,0.6749348,4342.0211,state,fb-survey
13,id,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,24.7247687,0.9014643,2290.2732,state,fb-survey
14,il,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,19.1699648,0.3609991,11889.9999,state,fb-survey
